,time,price,change,volume,amount,type
0,15:00:00,3.78,--,0,0,卖盘
1,15:00:00,3.78,-0.01,0,0,卖盘
2,15:00:00,3.79,0.01,35,13265,买盘
3,14:59:54,3.78,--,75,28350,卖盘
4,14:59:48,3.78,--,65,24664,卖盘
5,14:59:45,3.78,--,65,24570,卖盘
6,14:59:39,3.78,--,5,1890,卖盘
7,14:59:33,3.78,--,200,75600,卖盘
8,14:59:30,3.78,--,80,30240,卖盘
9,14:59:24,3.78,0.01,56,21168,买盘
10,14:59:15,3.77,-0.01,174,65598,卖盘
11,14:59:09,3.78,--,104,39312,买盘
12,14:59:03,3.78,--,106,40068,买盘
13,14:59:00,3.78,--,191,72198,买盘
14,14:58:54,3.78,--,114,43092,买盘
15,14:58:48,3.78,0.01,80,30240,买盘
16,14:58:45,3.77,-0.01,1328,500656,卖盘
17,14:58:39,3.78,--,99,37422,买盘
18,14:58:33,3.78,0.01,20,7560,买盘
19,14:58:30,3.77,-0.01,1706,643162,卖盘
20,14:58:24,3.78,--,76,28728,买盘
21,14:58:15,3.78,0.01,1080,408240,买盘
22,14:58:09,3.77,--,45,16965,卖盘
23,14:58:03,3.77,--,524,197548,卖盘
24,14:58:00,3.77,-0.01,125,47125,卖盘
25,14:57:54,3.78,0.01,137,51786,买盘
26,14:57:48,3.77,--,16,6032,卖盘
27,14:57:45,3.77,--,39,14703,卖盘
28,14:57:39,3.77,--,74,27898,卖盘
29,14:57:33,3.77,--,55,20735,卖盘
30,14:57:30,3.77,-0.01,7,2639,卖盘
31,14:57:24,3.78,0.01,135,51030,买盘
32,14:57:18,3.77,--,11,4147,卖盘
33,14:57:15,3.77,--,60,22620,卖盘
34,14:57:09,3.77,--,129,48633,卖盘
35,14:57:03,3.77,-0.01,50,18850,卖盘
36,14:57:00,3.78,--,36,13608,买盘
37,14:56:54,3.78,--,215,81270,买盘
38,14:56:48,3.78,--,21,7938,买盘
39,14:56:45,3.78,--,20,7560,买盘
40,14:56:39,3.78,--,264,99792,买盘
41,14:56:33,3.78,0.01,15,5670,买盘
42,14:56:30,3.77,-0.01,274,103298,卖盘
43,14:56:24,3.78,0.01,679,256662,买盘
44,14:56:15,3.77,--,932,351364,卖盘
45,14:56:09,3.77,-0.01,25,9425,卖盘
46,14:56:03,3.78,0.01,853,322434,买盘
47,14:56:00,3.77,-0.01,205,77285,卖盘
48,14:55:54,3.78,--,1042,393876,买盘
49,14:55:48,3.78,--,222,83916,买盘
50,14:55:44,3.78,--,148,55944,买盘
51,14:55:39,3.78,--,451,170478,买盘
52,14:55:33,3.78,--,72,27216,买盘
53,14:55:30,3.78,--,137,51786,卖盘
54,14:55:24,3.78,--,427,161406,卖盘
55,14:55:18,3.78,--,100,37800,卖盘
56,14:55:14,3.78,--,80,30240,卖盘
57,14:55:09,3.78,0.01,427,161406,买盘
58,14:55:03,3.77,-0.01,1,377,卖盘
59,14:54:48,3.78,0.01,10,3780,买盘
