,time,price,change,volume,amount,type
0,15:00:00,242.24,--,0,0,卖盘
1,15:00:00,242.24,-0.06,1,24224,卖盘
2,15:00:00,242.3,--,16,387680,买盘
3,14:59:55,242.3,0.1,134,3246820,买盘
4,14:59:49,242.2,0.04,13,314860,卖盘
5,14:59:45,242.16,--,31,750696,卖盘
6,14:59:40,242.16,-0.05,8,193728,卖盘
7,14:59:34,242.21,--,14,339094,卖盘
8,14:59:30,242.21,0.05,14,341516,买盘
9,14:59:25,242.16,-0.05,17,411672,卖盘
10,14:59:19,242.21,-0.05,5,121105,卖盘
11,14:59:15,242.26,--,20,492272,买盘
12,14:59:10,242.26,0.05,23,557198,买盘
13,14:59:04,242.21,--,10,242210,中性盘
14,14:59:00,242.21,0.14,12,290652,卖盘
15,14:58:55,242.07,-0.15,29,702003,卖盘
16,14:58:49,242.22,0.15,15,363330,买盘
17,14:58:45,242.07,-0.14,25,605175,卖盘
18,14:58:40,242.21,0.14,30,726630,买盘
19,14:58:34,242.07,--,1,24207,买盘
20,14:58:30,242.07,-0.15,16,405467,卖盘
21,14:58:25,242.22,0.15,5,121110,买盘
22,14:58:19,242.07,-0.01,25,605175,卖盘
23,14:58:15,242.08,-0.01,6,145248,卖盘
24,14:58:10,242.09,-0.08,12,290508,中性盘
25,14:58:04,242.17,0.13,9,225218,买盘
26,14:58:00,242.04,-0.03,23,556692,卖盘
27,14:57:55,242.07,-0.01,10,242070,卖盘
28,14:57:49,242.08,0.01,27,653616,买盘
29,14:57:45,242.07,--,21,508347,买盘
30,14:57:40,242.07,--,25,605175,买盘
31,14:57:34,242.07,0.06,19,459933,买盘
32,14:57:30,242.01,-0.05,9,217809,卖盘
33,14:57:24,242.06,0.06,37,895622,卖盘
34,14:57:19,242.0,-0.08,9,217800,卖盘
35,14:57:15,242.08,0.08,23,556784,买盘
36,14:57:09,242.0,--,22,532400,卖盘
37,14:57:04,242.0,--,22,532400,卖盘
38,14:57:00,242.0,-0.07,11,266200,卖盘
39,14:56:54,242.07,0.07,47,1137729,买盘
40,14:56:49,242.0,0.12,7,188034,买盘
41,14:56:45,241.88,-0.12,55,1330340,卖盘
42,14:56:39,242.0,--,2,48400,买盘
43,14:56:34,242.0,-0.07,20,484000,卖盘
44,14:56:30,242.07,0.01,6,145242,买盘
45,14:56:24,242.06,0.06,18,435708,中性盘
46,14:56:19,242.0,0.2,1,24200,卖盘
47,14:56:15,241.8,-0.08,28,677040,卖盘
48,14:56:09,241.88,0.06,15,366931,买盘
49,14:56:04,241.82,-0.18,40,987351,卖盘
50,14:56:00,242.0,0.13,38,923714,买盘
51,14:55:54,241.87,--,75,1814025,卖盘
52,14:55:49,241.87,-0.01,5,120935,卖盘
53,14:55:45,241.88,--,26,628888,买盘
54,14:55:39,241.88,0.01,13,314444,买盘
55,14:55:34,241.87,--,6,145122,卖盘
56,14:55:30,241.87,0.1,27,653049,买盘
57,14:55:24,241.77,0.02,13,314301,买盘
58,14:55:19,241.75,--,9,217575,买盘
59,14:55:15,241.75,-0.02,25,604375,卖盘
60,14:55:09,241.77,0.01,11,265947,卖盘
61,14:55:00,241.76,0.03,19,459344,买盘
62,14:54:54,241.73,-0.07,31,749363,卖盘
63,14:54:49,241.8,0.09,16,386880,买盘
64,14:54:45,241.71,--,74,1788654,买盘
65,14:54:39,241.71,-0.04,87,2102877,中性盘
66,14:54:34,241.75,--,203,4910426,买盘
67,14:54:30,241.75,-0.01,66,1595550,卖盘
68,14:54:24,241.76,--,129,3118704,买盘
69,14:54:19,241.76,0.01,98,2369248,买盘
70,14:54:14,241.75,-0.01,16,386800,卖盘
71,14:54:09,241.76,-0.24,135,3263760,卖盘
72,14:54:04,242.0,0.24,14,338800,买盘
73,14:53:59,241.76,-0.06,94,2272544,卖盘
74,14:53:54,241.82,0.06,7,169274,买盘
75,14:53:49,241.76,-0.14,42,1015392,卖盘
76,14:53:44,241.9,0.12,20,483800,买盘
77,14:53:39,241.78,-0.03,40,967120,卖盘
78,14:53:34,241.81,--,6,145086,买盘
79,14:53:29,241.81,-0.19,20,483620,卖盘
80,14:53:24,242.0,0.13,73,1766600,买盘
81,14:53:19,241.87,--,9,217683,买盘
82,14:53:14,241.87,-0.13,36,875085,卖盘
83,14:53:09,242.0,--,140,3388000,买盘
84,14:53:04,242.0,0.04,25,605000,买盘
85,14:52:59,241.96,-0.04,44,1064624,卖盘
86,14:52:54,242.0,--,31,750200,买盘
87,14:52:49,242.0,--,12,312906,卖盘
88,14:52:44,242.0,0.01,27,655094,买盘
