,time,price,change,volume,amount,type
0,15:00:00,3.74,--,0,0,卖盘
1,15:00:00,3.74,-0.01,0,0,卖盘
2,14:59:58,3.75,--,108,40500,买盘
3,14:59:52,3.75,0.01,218,81750,买盘
4,14:59:46,3.74,--,326,121924,卖盘
5,14:59:43,3.74,--,197,73678,卖盘
6,14:59:37,3.74,-0.01,249,93126,卖盘
7,14:59:31,3.75,0.01,314,117750,买盘
8,14:59:28,3.74,--,54,20196,卖盘
9,14:59:13,3.74,--,22,8228,卖盘
10,14:59:01,3.74,--,607,227018,卖盘
11,14:58:53,3.74,-0.01,54,20196,卖盘
12,14:58:46,3.75,--,56,21000,买盘
13,14:58:43,3.75,0.01,223,83625,买盘
14,14:58:37,3.74,-0.01,44,16456,卖盘
15,14:58:28,3.75,0.01,120,45000,买盘
16,14:58:23,3.74,-0.01,31,11594,卖盘
17,14:58:16,3.75,--,4,1500,买盘
18,14:58:13,3.75,0.01,2,750,买盘
19,14:58:07,3.74,--,150,56100,卖盘
20,14:58:02,3.74,--,525,196350,卖盘
21,14:57:58,3.74,--,2,748,卖盘
22,14:57:52,3.74,--,105,39270,卖盘
23,14:57:47,3.74,--,85,31790,卖盘
24,14:57:43,3.74,--,140,52360,卖盘
25,14:57:37,3.74,--,54,20196,卖盘
26,14:57:32,3.74,--,80,29920,卖盘
27,14:57:10,3.74,--,100,37400,卖盘
28,14:57:07,3.74,-0.01,30,11220,卖盘
29,14:57:01,3.75,0.01,317,118875,买盘
30,14:56:52,3.74,--,17,6358,卖盘
31,14:56:46,3.74,-0.01,530,198220,卖盘
32,14:56:41,3.75,0.01,104,39000,买盘
33,14:56:37,3.74,--,250,93500,卖盘
34,14:56:27,3.74,--,155,57970,卖盘
35,14:56:22,3.74,--,160,59840,卖盘
36,14:56:16,3.74,-0.01,4,1496,卖盘
37,14:56:07,3.75,0.01,320,120000,买盘
38,14:56:01,3.74,--,100,37400,卖盘
39,14:55:52,3.74,-0.01,1,374,卖盘
40,14:55:46,3.75,0.01,85,31875,买盘
41,14:55:41,3.74,--,5,1870,卖盘
42,14:55:37,3.74,-0.01,1173,438889,卖盘
43,14:55:31,3.75,--,248,93000,买盘
44,14:55:23,3.75,0.01,246,92250,买盘
45,14:55:10,3.74,-0.01,30,11220,卖盘
46,14:55:07,3.75,--,6,2250,买盘
47,14:54:52,3.75,0.01,17,6375,买盘
48,14:54:46,3.74,-0.01,511,191114,卖盘
49,14:54:38,3.75,0.01,246,92250,买盘
50,14:54:31,3.74,--,22,8228,卖盘
51,14:54:25,3.74,-0.01,79,29546,卖盘
52,14:54:22,3.75,--,254,95250,买盘
53,14:54:07,3.75,0.01,315,118125,买盘
54,14:54:02,3.74,--,259,96866,卖盘
55,14:53:55,3.74,--,91,34034,卖盘
56,14:53:52,3.74,-0.01,43,16082,卖盘
57,14:53:46,3.75,--,246,92250,买盘
58,14:53:37,3.75,--,5,1875,买盘
59,14:53:31,3.75,--,535,200625,买盘
60,14:53:25,3.75,0.01,266,99750,买盘
61,14:53:22,3.74,-0.01,72,26928,卖盘
62,14:53:16,3.75,--,246,92250,买盘
63,14:53:10,3.75,--,1,375,买盘
64,14:53:07,3.75,--,248,93000,买盘
65,14:52:55,3.75,0.01,510,191250,买盘
66,14:52:52,3.74,-0.01,27,10098,卖盘
67,14:52:46,3.75,0.01,253,94875,买盘
68,14:52:37,3.74,--,25,9350,卖盘
69,14:52:31,3.74,-0.01,16,5984,卖盘
70,14:52:25,3.75,--,246,92250,买盘
71,14:52:22,3.75,0.01,72,27000,买盘
72,14:52:16,3.74,--,7,2618,卖盘
73,14:52:07,3.74,--,276,103224,卖盘
74,14:52:01,3.74,-0.01,20,7480,卖盘
75,14:51:52,3.75,0.01,746,279750,买盘
76,14:51:46,3.74,--,100,37400,卖盘
77,14:51:40,3.74,-0.01,10,3740,卖盘
78,14:51:37,3.75,0.01,270,101250,买盘
79,14:51:31,3.74,-0.01,50,18700,卖盘
80,14:51:25,3.75,--,164,61500,买盘
81,14:51:16,3.75,0.01,649,243375,买盘
82,14:51:10,3.74,-0.01,24,8976,卖盘
83,14:51:07,3.75,--,223,83625,买盘
84,14:51:01,3.75,--,397,148875,买盘
85,14:50:40,3.75,--,51,19125,买盘
86,14:50:37,3.75,0.01,218,81750,买盘
87,14:50:31,3.74,--,2176,813824,卖盘
88,14:50:25,3.74,--,8,2992,卖盘
89,14:50:21,3.74,-0.01,100,37400,卖盘
90,14:50:16,3.75,0.01,115,43125,买盘
91,14:50:10,3.74,-0.01,569,212806,卖盘
92,14:50:06,3.75,0.01,200,75000,买盘
93,14:50:01,3.74,--,62,23188,卖盘
94,14:49:55,3.74,--,229,85646,卖盘
95,14:49:40,3.74,--,67,25058,卖盘
96,14:49:36,3.74,-0.01,46,17204,卖盘
97,14:49:31,3.75,0.01,60,22500,买盘
98,14:49:19,3.74,--,470,175780,卖盘
99,14:49:16,3.74,--,108,40392,卖盘
100,14:49:10,3.74,--,26,9724,卖盘
101,14:49:06,3.74,--,212,79288,卖盘
102,14:48:46,3.74,-0.01,2750,1028500,卖盘
103,14:48:40,3.75,--,43,16125,买盘
104,14:48:25,3.75,0.01,65,24375,买盘
105,14:48:20,3.74,--,10,3740,卖盘
106,14:48:16,3.74,--,42,15708,卖盘
107,14:48:10,3.74,-0.01,13,4862,卖盘
108,14:48:01,3.75,0.01,25,9375,买盘
109,14:47:46,3.74,--,4,1496,卖盘
110,14:47:40,3.74,-0.01,20,7480,卖盘
111,14:47:34,3.75,0.01,110,41250,买盘
112,14:47:31,3.74,-0.01,1,374,卖盘
113,14:47:25,3.75,0.01,3,1125,买盘
114,14:47:10,3.74,--,32,11968,卖盘
115,14:47:04,3.74,--,42,15708,卖盘
116,14:47:01,3.74,-0.01,26,9724,卖盘
117,14:46:55,3.75,--,14,5250,买盘
118,14:46:49,3.75,0.01,23,8625,买盘
119,14:46:46,3.74,--,9,3366,卖盘
120,14:46:40,3.74,--,7,2618,卖盘
121,14:46:34,3.74,--,50,18700,卖盘
122,14:46:31,3.74,-0.01,3,1122,卖盘
123,14:46:25,3.75,--,8,3000,买盘
124,14:46:19,3.75,0.01,23,8625,买盘
125,14:46:16,3.74,--,25,9350,卖盘
126,14:46:10,3.74,--,5,1870,卖盘
127,14:46:01,3.74,-0.01,3,1122,卖盘
128,14:45:55,3.75,0.01,27,10125,买盘
129,14:45:49,3.74,--,96,35904,卖盘
130,14:45:46,3.74,--,23,8602,卖盘
131,14:45:40,3.74,--,57,21318,卖盘
132,14:45:34,3.74,--,100,37400,卖盘
133,14:45:31,3.74,--,2,748,卖盘
