,time,price,change,volume,amount,type
0,15:00:22,36.7,-0.01,156,572520,卖盘
1,14:57:49,36.71,--,0,0,买盘
2,14:57:01,36.71,--,2,7342,卖盘
3,14:56:52,36.71,-0.01,41,151502,买盘
4,14:56:37,36.72,0.01,11,40392,买盘
5,14:56:19,36.71,-0.01,3,11013,卖盘
6,14:56:10,36.72,--,15,55080,买盘
7,14:55:52,36.72,--,2,7344,卖盘
8,14:55:49,36.72,--,3,11016,卖盘
9,14:55:34,36.72,--,5,18360,买盘
10,14:55:19,36.72,--,2,7344,买盘
11,14:55:16,36.72,0.01,1,3672,买盘
12,14:55:10,36.71,--,3,11013,卖盘
13,14:55:07,36.71,--,1,3671,卖盘
14,14:54:58,36.71,-0.01,2,7342,卖盘
15,14:54:49,36.72,--,1,3672,买盘
16,14:54:43,36.72,--,1,3672,买盘
17,14:54:37,36.72,--,8,29376,卖盘
18,14:54:31,36.72,-0.03,2,7344,中性盘
19,14:54:07,36.75,0.04,1,3675,买盘
20,14:54:04,36.71,--,8,29368,卖盘
21,14:53:43,36.71,--,10,36710,卖盘
22,14:53:34,36.71,-0.01,5,18355,卖盘
23,14:53:28,36.72,0.01,1,3672,买盘
24,14:53:25,36.71,--,3,11013,卖盘
25,14:53:10,36.71,0.03,10,36710,中性盘
26,14:52:25,36.68,-0.04,2,7336,卖盘
27,14:52:13,36.72,-0.03,3,11016,卖盘
28,14:52:04,36.75,--,5,18375,买盘
29,14:52:01,36.75,--,5,18375,卖盘
30,14:51:49,36.75,-0.02,1,3675,卖盘
31,14:51:43,36.77,0.02,2,7354,买盘
32,14:51:31,36.75,--,4,14700,卖盘
33,14:51:16,36.75,-0.02,2,7350,卖盘
34,14:51:07,36.77,--,21,77217,买盘
35,14:50:58,36.77,--,16,58832,卖盘
36,14:50:52,36.77,--,10,36770,卖盘
37,14:50:43,36.77,-0.01,3,11031,卖盘
38,14:50:37,36.78,--,3,11034,买盘
39,14:50:34,36.78,-0.02,15,55170,卖盘
40,14:50:25,36.8,--,1,3679,卖盘
41,14:50:13,36.8,--,14,51519,买盘
