,time,price,change,volume,amount,type
0,15:00:00,10.92,0.01,0,0,买盘
1,14:59:59,10.91,--,98,106918,买盘
2,14:59:57,10.91,--,20,21820,买盘
3,14:59:53,10.91,--,60,65460,买盘
4,14:59:47,10.91,-0.01,187,204017,卖盘
5,14:59:42,10.92,--,152,165984,买盘
6,14:59:38,10.92,--,213,232596,买盘
7,14:59:32,10.92,--,58,63336,卖盘
8,14:59:23,10.92,--,192,209664,买盘
9,14:59:17,10.92,--,28,30576,买盘
10,14:59:12,10.92,--,33,36036,买盘
11,14:59:08,10.92,--,95,103740,卖盘
12,14:59:02,10.92,--,393,429156,卖盘
13,14:58:57,10.92,0.01,31,33852,买盘
14,14:58:53,10.91,-0.01,148,161468,卖盘
15,14:58:47,10.92,--,42,45864,卖盘
16,14:58:42,10.92,--,10,10920,卖盘
17,14:58:38,10.92,--,230,251160,买盘
18,14:58:32,10.92,--,100,109200,卖盘
19,14:58:27,10.92,-0.01,38,41496,卖盘
20,14:58:23,10.93,0.02,350,382550,买盘
21,14:58:17,10.91,--,88,96008,卖盘
22,14:58:12,10.91,--,164,178924,卖盘
23,14:58:08,10.91,--,218,237838,卖盘
24,14:58:02,10.91,--,107,116737,卖盘
25,14:57:57,10.91,-0.01,35,38185,卖盘
26,14:57:52,10.92,0.01,17,18564,买盘
27,14:57:47,10.91,--,12,13092,卖盘
28,14:57:37,10.91,--,50,54790,买盘
29,14:57:32,10.91,--,540,589140,买盘
30,14:57:27,10.91,0.01,10,10910,买盘
31,14:57:22,10.9,-0.01,10,10900,卖盘
32,14:57:17,10.91,0.01,22,24002,买盘
33,14:57:07,10.9,--,30,32700,卖盘
34,14:57:02,10.9,-0.01,32,34880,中性盘
35,14:56:57,10.91,0.01,14,15274,买盘
36,14:56:52,10.9,--,89,97010,买盘
37,14:56:47,10.9,--,386,421590,卖盘
38,14:56:42,10.9,--,18,19620,卖盘
39,14:56:37,10.9,-0.01,4,4360,卖盘
40,14:56:32,10.91,0.01,163,177833,买盘
41,14:56:27,10.9,--,16,17440,卖盘
42,14:56:22,10.9,--,11,11990,卖盘
43,14:56:17,10.9,--,7,7630,卖盘
44,14:56:12,10.9,0.01,271,295629,买盘
45,14:56:06,10.89,--,165,179685,卖盘
46,14:56:02,10.89,--,273,297297,卖盘
47,14:55:57,10.89,--,15,16335,卖盘
48,14:55:47,10.89,--,16,17424,卖盘
49,14:55:32,10.89,--,30,32670,卖盘
50,14:55:27,10.89,--,9,9801,卖盘
51,14:55:17,10.89,--,63,68607,买盘
52,14:55:12,10.89,--,205,223245,买盘
53,14:55:06,10.89,--,16,17424,买盘
54,14:55:02,10.89,--,3,3267,买盘
55,14:54:57,10.89,--,21,22869,买盘
56,14:54:51,10.89,--,82,89298,买盘
57,14:54:47,10.89,0.01,32,34848,买盘
58,14:54:41,10.88,-0.01,30,32640,卖盘
59,14:54:32,10.89,--,35,38115,买盘
60,14:54:26,10.89,0.01,19,20691,买盘
61,14:54:21,10.88,-0.01,436,474368,卖盘
62,14:54:17,10.89,--,10,10890,买盘
63,14:54:11,10.89,0.01,59,64251,买盘
