,time,price,change,volume,amount,type
0,15:00:24,5.23,--,11654,6095042,卖盘
1,14:57:27,5.23,--,0,0,买盘
2,14:57:03,5.23,--,140,73220,卖盘
3,14:57:00,5.23,--,135,70605,买盘
4,14:56:54,5.23,-0.01,347,181543,卖盘
5,14:56:51,5.24,--,315,165060,买盘
6,14:56:48,5.24,--,1189,623036,买盘
7,14:56:42,5.24,--,253,132572,买盘
8,14:56:39,5.24,0.01,1216,637184,买盘
9,14:56:33,5.23,-0.01,6,3138,卖盘
10,14:56:30,5.24,--,8,4192,买盘
11,14:56:27,5.24,0.01,51,26724,买盘
12,14:56:21,5.23,0.01,197,103491,买盘
13,14:56:18,5.22,-0.01,216,112752,卖盘
14,14:56:15,5.23,--,111,58053,买盘
15,14:56:12,5.23,0.01,1048,548104,买盘
16,14:56:09,5.22,-0.01,231,120582,卖盘
17,14:56:06,5.23,0.01,15,7845,买盘
18,14:56:03,5.22,-0.01,265,138330,卖盘
19,14:56:00,5.23,0.01,109,57007,买盘
20,14:55:57,5.22,--,75,39150,卖盘
21,14:55:54,5.22,--,104,54288,卖盘
22,14:55:45,5.22,-0.01,7,3654,卖盘
23,14:55:42,5.23,0.01,48,25104,买盘
24,14:55:39,5.22,--,42,21924,买盘
25,14:55:36,5.22,--,76,39672,买盘
26,14:55:33,5.22,--,37,19314,买盘
27,14:55:30,5.22,--,62,32364,买盘
28,14:55:27,5.22,--,409,213498,卖盘
29,14:55:24,5.22,-0.01,16,8352,卖盘
30,14:55:21,5.23,--,76,39748,买盘
31,14:55:18,5.23,--,20,10460,买盘
32,14:55:15,5.23,--,416,217568,买盘
33,14:55:09,5.23,--,299,156377,买盘
34,14:55:06,5.23,--,1185,619755,买盘
35,14:55:00,5.23,0.01,15,7845,买盘
36,14:54:57,5.22,-0.01,405,211410,卖盘
37,14:54:54,5.23,0.01,59,30857,买盘
38,14:54:51,5.22,-0.01,580,302822,卖盘
39,14:54:48,5.23,--,38,19874,卖盘
40,14:54:45,5.23,--,100,52300,卖盘
41,14:54:42,5.23,--,3,1569,卖盘
42,14:54:36,5.23,--,50,26610,买盘
43,14:54:33,5.23,--,2003,1047569,买盘
44,14:54:30,5.23,--,7,3661,买盘
45,14:54:24,5.23,0.01,107,55961,买盘
46,14:54:21,5.22,--,7,3654,卖盘
47,14:54:18,5.22,-0.01,155,80910,卖盘
48,14:54:15,5.23,--,357,186711,买盘
49,14:54:09,5.23,--,77,40271,买盘
50,14:54:06,5.23,--,100,52300,买盘
51,14:54:03,5.23,--,46,24058,买盘
52,14:54:00,5.23,--,2257,1180850,卖盘
53,14:53:54,5.23,-0.01,92,48618,卖盘
54,14:53:51,5.24,0.01,81,42464,买盘
55,14:53:48,5.23,-0.01,56,29790,卖盘
56,14:53:45,5.24,--,80,41920,买盘
57,14:53:42,5.24,--,160,83840,买盘
58,14:53:39,5.24,0.01,20,10480,买盘
59,14:53:33,5.23,-0.01,98,51254,卖盘
60,14:53:30,5.24,--,23,12072,买盘
61,14:53:27,5.24,--,24,13079,买盘
62,14:53:24,5.24,0.01,11,5784,买盘
63,14:53:21,5.23,-0.01,68,36066,卖盘
64,14:53:15,5.24,--,20,10480,买盘
65,14:53:12,5.24,--,15,7880,买盘
66,14:53:09,5.24,--,30,15720,买盘
67,14:53:06,5.24,0.01,158,82792,买盘
68,14:53:03,5.23,-0.01,304,158992,卖盘
69,14:53:00,5.24,--,136,71347,买盘
70,14:52:57,5.24,0.01,30,15720,买盘
71,14:52:54,5.23,-0.01,174,91002,卖盘
72,14:52:51,5.24,--,155,81220,买盘
73,14:52:48,5.24,0.01,46,24104,买盘
74,14:52:45,5.23,-0.01,123,64329,卖盘
75,14:52:42,5.24,0.01,28,14672,卖盘
76,14:52:39,5.23,-0.01,180,94140,卖盘
77,14:52:36,5.24,--,74,38776,买盘
78,14:52:33,5.24,--,50,26200,买盘
79,14:52:30,5.24,--,209,109516,买盘
80,14:52:24,5.24,--,5,2620,买盘
81,14:52:21,5.24,--,116,60784,卖盘
82,14:52:18,5.24,-0.01,281,147244,中性盘
83,14:52:12,5.25,--,86,45150,买盘
84,14:52:09,5.25,0.01,1078,565950,买盘
85,14:52:06,5.24,--,69,36156,买盘
86,14:52:03,5.24,-0.01,993,520604,卖盘
87,14:52:00,5.25,0.01,4,2604,买盘
88,14:51:57,5.24,--,500,262000,卖盘
89,14:51:54,5.24,-0.01,50,26200,卖盘
90,14:51:51,5.25,0.01,383,201096,买盘
91,14:51:48,5.24,-0.01,36,19367,卖盘
92,14:51:42,5.25,--,40,21000,买盘
93,14:51:39,5.25,0.01,38,19950,买盘
94,14:51:36,5.24,--,50,26200,卖盘
95,14:51:33,5.24,--,21,11024,卖盘
96,14:51:27,5.24,--,761,399015,买盘
97,14:51:24,5.24,--,13,6812,买盘
98,14:51:21,5.24,0.01,59,30916,买盘
99,14:51:15,5.23,-0.01,11,5753,卖盘
100,14:51:12,5.24,-0.01,213,111884,卖盘
101,14:51:09,5.25,0.01,14,7854,买盘
102,14:51:06,5.24,--,2,1048,卖盘
103,14:51:03,5.24,-0.01,14,7336,卖盘
104,14:51:00,5.25,0.01,5,2625,买盘
105,14:50:57,5.24,--,27,14148,卖盘
106,14:50:54,5.24,--,192,100608,卖盘
107,14:50:51,5.24,0.01,2001,1048796,买盘
108,14:50:48,5.23,--,11,5753,卖盘
109,14:50:45,5.23,-0.01,7,3661,卖盘
110,14:50:42,5.24,0.01,503,263572,买盘
111,14:50:36,5.23,--,21,10983,卖盘
112,14:50:33,5.23,0.01,416,217568,买盘
113,14:50:30,5.22,-0.01,107,55854,卖盘
114,14:50:27,5.23,--,1106,578438,买盘
115,14:50:24,5.23,0.01,182,95186,买盘
116,14:50:21,5.22,--,22,11484,卖盘
117,14:50:18,5.22,--,33,17226,卖盘
118,14:50:15,5.22,-0.01,14,7308,卖盘
119,14:50:09,5.23,--,38,19874,买盘
120,14:50:03,5.23,0.01,5,2615,买盘
121,14:49:51,5.22,--,108,56376,卖盘
122,14:49:48,5.22,--,27,14094,卖盘
123,14:49:45,5.22,--,35,18270,卖盘
124,14:49:42,5.22,--,13,6786,卖盘
125,14:49:39,5.22,--,46,24012,卖盘
126,14:49:36,5.22,--,191,99702,买盘
127,14:49:33,5.22,--,211,110142,卖盘
128,14:49:30,5.22,-0.01,50,26100,卖盘
129,14:49:27,5.23,0.01,23,12029,买盘
130,14:49:24,5.22,--,23,12006,卖盘
131,14:49:21,5.22,--,475,247950,卖盘
132,14:49:18,5.22,--,14,7308,卖盘
133,14:49:15,5.22,--,53,27666,卖盘
134,14:49:12,5.22,--,5,2610,卖盘
135,14:49:09,5.22,--,406,211932,买盘
136,14:49:06,5.22,0.01,38,19836,买盘
137,14:49:00,5.21,--,15,7815,卖盘
138,14:48:54,5.21,-0.01,164,85444,卖盘
139,14:48:51,5.22,--,100,52200,买盘
140,14:48:48,5.22,--,15,7830,买盘
141,14:48:45,5.22,--,1950,1017900,卖盘
142,14:48:39,5.22,--,120,62640,卖盘
143,14:48:36,5.22,--,50,26100,卖盘
144,14:48:33,5.22,--,47,24534,卖盘
145,14:48:27,5.22,--,126,65772,卖盘
146,14:48:24,5.22,-0.01,6,3132,卖盘
147,14:48:21,5.23,--,34,17782,买盘
148,14:48:09,5.23,--,16,8368,买盘
149,14:48:06,5.23,--,160,83680,买盘
150,14:48:03,5.23,--,20,10460,买盘
151,14:48:00,5.23,--,18,9414,买盘
152,14:47:57,5.23,0.01,151,78973,买盘
153,14:47:51,5.22,-0.01,91,47502,卖盘
154,14:47:48,5.23,0.01,104,54392,买盘
155,14:47:45,5.22,-0.01,101,52722,卖盘
156,14:47:42,5.23,0.01,28,14644,买盘
157,14:47:33,5.22,-0.01,19,9918,卖盘
158,14:47:30,5.23,--,62,32426,买盘
159,14:47:27,5.23,--,162,84726,买盘
160,14:47:24,5.23,--,23,12029,买盘
161,14:47:21,5.23,--,94,49162,卖盘
