,time,price,change,volume,amount,type
0,15:00:00,18.4,--,0,0,卖盘
1,15:00:00,18.4,--,0,0,卖盘
2,15:00:00,18.4,0.01,89,163760,买盘
3,14:59:51,18.39,-0.01,2,3678,卖盘
4,14:59:46,18.4,--,113,207919,买盘
5,14:59:40,18.4,--,19,34960,买盘
6,14:59:36,18.4,0.01,61,112239,买盘
7,14:59:25,18.39,--,10,18390,卖盘
8,14:59:21,18.39,-0.01,10,18390,卖盘
9,14:59:16,18.4,--,48,88320,买盘
10,14:59:06,18.4,--,15,27599,买盘
11,14:59:01,18.4,0.01,56,103039,买盘
12,14:58:51,18.39,-0.01,6,11034,卖盘
13,14:58:46,18.4,--,5,9200,买盘
14,14:58:40,18.4,0.01,5,9200,买盘
15,14:58:36,18.39,-0.01,50,91950,卖盘
16,14:58:31,18.4,--,7,12879,卖盘
17,14:58:21,18.4,--,12,22080,卖盘
18,14:58:10,18.4,-0.01,2,3679,卖盘
19,14:58:06,18.41,-0.01,204,375564,卖盘
20,14:58:00,18.42,--,5,9210,卖盘
21,14:57:55,18.42,--,59,108678,买盘
22,14:57:51,18.42,--,9,16578,买盘
23,14:57:45,18.42,0.01,40,73680,买盘
24,14:57:40,18.41,--,5,9205,卖盘
25,14:57:36,18.41,--,3,5523,卖盘
26,14:57:30,18.41,--,6,11046,卖盘
27,14:57:25,18.41,--,15,27615,卖盘
28,14:57:10,18.41,--,2,3682,卖盘
29,14:57:06,18.41,--,8,14728,卖盘
30,14:57:00,18.41,0.01,51,93891,买盘
31,14:56:55,18.4,-0.01,10,18400,卖盘
32,14:56:51,18.41,0.01,24,44184,买盘
33,14:56:45,18.4,--,105,193199,卖盘
34,14:56:40,18.4,--,1,1839,卖盘
35,14:56:35,18.4,0.01,170,312800,买盘
36,14:56:30,18.39,--,17,31263,买盘
37,14:56:25,18.39,--,15,27585,买盘
38,14:56:20,18.39,--,217,399063,卖盘
39,14:56:15,18.39,--,1,1839,卖盘
40,14:56:10,18.39,--,1,1839,卖盘
41,14:56:00,18.39,--,15,27585,买盘
42,14:55:50,18.39,0.02,20,36780,买盘
43,14:55:45,18.37,--,2,3674,中性盘
44,14:55:40,18.37,-0.02,2,3674,卖盘
45,14:55:35,18.39,0.01,208,382512,买盘
46,14:55:30,18.38,--,23,42274,买盘
47,14:55:25,18.38,0.01,10,18380,买盘
48,14:55:15,18.37,--,20,36740,卖盘
49,14:55:10,18.37,--,19,34903,买盘
50,14:55:05,18.37,--,25,45925,买盘
51,14:55:00,18.37,0.01,23,42251,买盘
52,14:54:55,18.36,-0.01,5,9180,卖盘
53,14:54:50,18.37,--,5,9185,买盘
54,14:54:45,18.37,-0.01,20,36740,买盘
55,14:54:35,18.38,--,0,0,买盘
56,14:54:30,18.38,0.01,70,128660,买盘
57,14:54:25,18.37,-0.01,30,55110,卖盘
58,14:54:20,18.38,0.01,3,5514,买盘
59,14:54:15,18.37,-0.01,15,27555,卖盘
60,14:54:05,18.38,--,14,25732,买盘
61,14:54:00,18.38,--,68,124984,买盘
62,14:53:40,18.38,--,2,3676,买盘
63,14:53:30,18.38,--,20,36760,买盘
64,14:53:25,18.38,--,23,42274,卖盘
65,14:53:15,18.38,-0.02,10,18380,卖盘
66,14:53:10,18.4,0.01,35,64399,买盘
67,14:53:04,18.39,--,1,1839,中性盘
68,14:52:45,18.39,--,0,0,中性盘
69,14:52:40,18.39,-0.01,9,16551,中性盘
70,14:52:34,18.4,0.02,50,92000,买盘
71,14:52:30,18.38,-0.01,1,1838,卖盘
72,14:52:25,18.39,-0.01,10,18390,卖盘
73,14:52:19,18.4,0.01,10,18400,买盘
74,14:52:10,18.39,--,9,16551,卖盘
75,14:51:55,18.39,0.02,37,68043,买盘
76,14:51:49,18.37,-0.01,1,1837,卖盘
77,14:51:45,18.38,-0.01,1,1838,中性盘
78,14:51:40,18.39,0.02,172,316308,买盘
79,14:51:34,18.37,--,13,23881,卖盘
80,14:51:25,18.37,--,97,178189,买盘
81,14:51:15,18.37,--,2,3674,买盘
82,14:51:10,18.37,0.01,28,51436,买盘
83,14:51:00,18.36,0.01,2,3672,卖盘
84,14:50:45,18.35,--,0,0,卖盘
85,14:50:39,18.35,-0.02,4,7340,卖盘
86,14:50:30,18.37,0.02,7,12859,买盘
87,14:50:24,18.35,-0.02,39,71565,卖盘
88,14:50:15,18.37,--,10,18370,买盘
89,14:50:09,18.37,-0.01,3,5511,卖盘
90,14:50:00,18.38,-0.01,1,1838,卖盘
91,14:49:44,18.39,--,11,20229,买盘
92,14:49:29,18.39,0.01,2,3678,买盘
93,14:49:24,18.38,-0.01,26,47788,卖盘
94,14:49:09,18.39,--,178,327342,卖盘
95,14:49:04,18.39,-0.01,10,18390,卖盘
96,14:48:54,18.4,--,4,7359,买盘
97,14:48:39,18.4,--,3,5520,买盘
98,14:48:29,18.4,--,7,12879,卖盘
99,14:48:14,18.4,-0.01,10,18400,卖盘
100,14:47:59,18.41,--,2,3682,买盘
101,14:47:54,18.41,--,1,1841,买盘
102,14:47:34,18.41,--,2,3682,买盘
103,14:47:29,18.41,--,13,23933,买盘
104,14:47:14,18.41,--,14,25774,买盘
105,14:47:04,18.41,--,59,108619,卖盘
106,14:46:58,18.41,--,7,12887,卖盘
107,14:46:49,18.41,--,3,5523,卖盘
108,14:46:43,18.41,0.01,5,9205,买盘
109,14:46:39,18.4,--,4,7359,卖盘
110,14:46:34,18.4,--,5,9200,卖盘
111,14:46:28,18.4,--,19,34960,买盘
112,14:46:24,18.4,--,1,1839,卖盘
113,14:46:19,18.4,-0.01,10,18400,卖盘
114,14:46:13,18.41,--,4,7364,买盘
115,14:45:54,18.41,--,6,11046,卖盘
116,14:45:49,18.41,--,7,12887,卖盘
117,14:45:43,18.41,--,30,55230,卖盘
118,14:45:39,18.41,--,6,11046,买盘
119,14:45:28,18.41,0.01,28,51548,买盘
120,14:45:24,18.4,0.02,14,25759,买盘
121,14:45:19,18.38,-0.02,101,185638,卖盘
122,14:45:13,18.4,--,14,25759,买盘
123,14:45:04,18.4,--,23,42320,卖盘
124,14:44:58,18.4,0.01,21,38640,卖盘
125,14:44:54,18.39,-0.01,30,55170,卖盘
126,14:44:43,18.4,--,25,46000,买盘
127,14:44:39,18.4,--,14,25759,买盘
128,14:44:24,18.4,-0.02,57,104879,卖盘
129,14:44:19,18.42,--,15,27630,买盘
130,14:44:13,18.42,--,0,0,买盘
131,14:43:43,18.42,--,0,0,买盘
