,time,price,change,volume,amount,type
0,15:00:00,9.83,--,0,0,卖盘
1,15:00:00,9.83,-0.01,37,36371,卖盘
2,15:00:00,9.84,0.01,58,57072,买盘
3,14:59:55,9.83,-0.01,31,30473,卖盘
4,14:59:51,9.84,--,89,87576,买盘
5,14:59:46,9.84,0.01,262,257808,买盘
6,14:59:40,9.83,-0.01,641,630103,卖盘
7,14:59:36,9.84,--,37,36408,买盘
8,14:59:31,9.84,0.01,390,383760,买盘
9,14:59:25,9.83,--,241,236903,买盘
10,14:59:21,9.83,0.01,75,73725,买盘
11,14:59:16,9.82,-0.02,41,40262,卖盘
12,14:59:10,9.84,0.01,262,257808,买盘
13,14:59:06,9.83,0.01,30,29490,中性盘
14,14:59:01,9.82,-0.03,65,63830,卖盘
15,14:58:55,9.85,0.02,1723,1697155,买盘
16,14:58:51,9.83,0.01,51,50133,中性盘
17,14:58:46,9.82,--,25,24550,卖盘
18,14:58:40,9.82,-0.02,232,227824,卖盘
19,14:58:36,9.84,0.02,246,242064,买盘
20,14:58:31,9.82,-0.02,40,39280,卖盘
21,14:58:25,9.84,0.02,121,119064,买盘
22,14:58:21,9.82,-0.02,298,292636,卖盘
23,14:58:16,9.84,--,181,178104,卖盘
24,14:58:10,9.84,-0.01,494,486096,卖盘
25,14:58:06,9.85,0.01,315,310275,买盘
26,14:58:01,9.84,--,6,5904,卖盘
27,14:57:55,9.84,--,228,224352,卖盘
28,14:57:51,9.84,0.01,1381,1358904,买盘
29,14:57:46,9.83,0.01,830,815890,买盘
30,14:57:40,9.82,--,57,55974,卖盘
31,14:57:36,9.82,--,19,18658,卖盘
32,14:57:25,9.82,-0.01,84,82488,卖盘
33,14:57:21,9.83,0.02,29,28507,买盘
34,14:57:15,9.81,-0.01,359,352179,卖盘
35,14:57:10,9.82,--,376,369232,卖盘
36,14:57:06,9.82,0.01,829,814078,买盘
37,14:57:00,9.81,--,34,33354,卖盘
38,14:56:55,9.81,-0.01,402,394362,卖盘
39,14:56:51,9.82,--,379,372178,买盘
40,14:56:45,9.82,0.01,30,29460,买盘
41,14:56:40,9.81,--,213,208953,卖盘
42,14:56:36,9.81,--,176,173597,卖盘
43,14:56:30,9.81,--,78,76518,买盘
44,14:56:25,9.81,--,983,964323,买盘
45,14:56:21,9.81,--,73,71613,买盘
46,14:56:15,9.81,--,11,10791,买盘
47,14:56:10,9.81,0.01,8,7848,买盘
48,14:56:06,9.8,-0.01,113,110985,卖盘
49,14:56:00,9.81,--,47,46107,卖盘
50,14:55:55,9.81,--,751,737466,买盘
51,14:55:50,9.81,0.01,202,198162,买盘
52,14:55:45,9.8,--,49,48020,中性盘
53,14:55:40,9.8,--,368,360640,卖盘
54,14:55:35,9.8,--,865,847700,买盘
55,14:55:30,9.8,--,16,15680,卖盘
56,14:55:25,9.8,--,66,64680,卖盘
57,14:55:20,9.8,--,424,415520,卖盘
58,14:55:15,9.8,--,112,109760,卖盘
59,14:55:10,9.8,--,158,154840,卖盘
60,14:55:05,9.8,0.01,76,74480,中性盘
61,14:55:00,9.79,--,47,46502,卖盘
62,14:54:55,9.79,-0.01,103,100836,卖盘
63,14:54:50,9.8,--,17,16660,买盘
64,14:54:45,9.8,--,67,65660,买盘
65,14:54:40,9.8,-0.01,422,414050,卖盘
66,14:54:35,9.81,--,88,86328,买盘
67,14:54:30,9.81,-0.01,73,71613,卖盘
68,14:54:25,9.82,0.01,714,701148,买盘
69,14:54:20,9.81,-0.01,1,981,中性盘
70,14:54:15,9.82,--,144,141899,买盘
71,14:54:10,9.82,--,381,374142,买盘
72,14:54:05,9.82,--,167,163994,买盘
73,14:54:00,9.82,--,46,45172,买盘
74,14:53:55,9.82,--,94,92308,买盘
75,14:53:50,9.82,--,126,123732,买盘
76,14:53:45,9.82,--,110,108020,卖盘
77,14:53:40,9.82,-0.01,17,16694,卖盘
