,time,price,change,volume,amount,type
0,15:00:00,28.77,--,0,0,卖盘
1,15:00:00,28.77,-0.02,0,0,卖盘
2,14:59:57,28.79,--,4,11516,买盘
3,14:59:51,28.79,0.02,2,5758,买盘
4,14:59:46,28.77,--,3,8631,卖盘
5,14:59:42,28.77,-0.02,9,25893,卖盘
6,14:59:31,28.79,0.02,6,17274,买盘
7,14:59:27,28.77,--,2,5754,卖盘
8,14:59:21,28.77,--,1,2877,卖盘
9,14:59:16,28.77,-0.05,10,28770,卖盘
10,14:59:12,28.82,--,0,0,买盘
11,14:59:01,28.82,0.05,50,144100,买盘
12,14:58:57,28.77,--,30,86310,买盘
13,14:58:42,28.77,-0.02,28,80556,卖盘
14,14:58:36,28.79,-0.02,2,5758,卖盘
15,14:58:31,28.81,--,4,11524,买盘
16,14:58:27,28.81,--,0,0,买盘
17,14:58:12,28.81,-0.01,29,83549,卖盘
18,14:58:01,28.82,--,3,8646,买盘
19,14:57:57,28.82,--,139,400598,买盘
20,14:57:51,28.82,--,27,77814,卖盘
21,14:57:46,28.82,--,2,5764,卖盘
22,14:57:42,28.82,--,20,57640,卖盘
23,14:57:36,28.82,--,5,14410,卖盘
24,14:57:31,28.82,--,6,17292,卖盘
25,14:57:27,28.82,0.01,8,23056,卖盘
26,14:57:16,28.81,-0.01,1,2881,中性盘
27,14:57:12,28.82,-0.01,2,5764,中性盘
28,14:57:06,28.83,0.07,11,31712,买盘
29,14:57:01,28.76,-0.06,31,89156,卖盘
30,14:56:57,28.82,--,1,2882,中性盘
31,14:56:51,28.82,--,2,5764,卖盘
32,14:56:46,28.82,--,8,23056,买盘
33,14:56:36,28.82,0.08,1,2882,买盘
34,14:56:16,28.74,-0.08,3,8622,卖盘
35,14:56:11,28.82,0.06,5,14410,卖盘
36,14:56:01,28.76,-0.06,133,382508,卖盘
37,14:55:56,28.82,-0.01,21,60522,中性盘
38,14:55:51,28.83,--,0,0,买盘
39,14:55:46,28.83,0.07,12,34596,买盘
40,14:55:41,28.76,--,2,5752,卖盘
41,14:55:36,28.76,0.02,26,75610,卖盘
42,14:55:31,28.74,-0.08,29,84179,卖盘
43,14:55:26,28.82,--,2,5764,卖盘
44,14:55:21,28.82,--,35,100870,卖盘
