,time,price,change,volume,amount,type
0,15:00:20,5.15,-0.01,1799,926897,买盘
1,14:58:53,5.16,--,0,0,买盘
2,14:56:59,5.16,0.01,35,18060,买盘
3,14:56:56,5.15,--,51,26265,卖盘
4,14:56:53,5.15,--,3,1545,卖盘
5,14:56:47,5.15,-0.01,70,36050,卖盘
6,14:56:41,5.16,0.01,73,37668,买盘
7,14:56:38,5.15,0.01,165,84975,买盘
8,14:56:35,5.14,-0.01,6,3084,卖盘
9,14:56:32,5.15,--,57,29355,卖盘
10,14:56:29,5.15,-0.01,3,1545,买盘
11,14:56:26,5.16,0.01,78,40248,买盘
12,14:56:20,5.15,--,15,7725,卖盘
13,14:56:17,5.15,-0.01,46,23690,中性盘
14,14:56:11,5.16,0.01,581,299796,买盘
15,14:56:02,5.15,--,72,37183,买盘
16,14:55:56,5.15,--,56,28840,买盘
17,14:55:53,5.15,-0.01,528,272012,卖盘
18,14:55:50,5.16,0.01,59,30444,买盘
19,14:55:47,5.15,-0.01,6,3090,卖盘
20,14:55:44,5.16,--,155,79980,买盘
21,14:55:38,5.16,--,262,135687,卖盘
22,14:55:32,5.16,--,56,28896,卖盘
23,14:55:29,5.16,--,89,45924,卖盘
24,14:55:26,5.16,--,40,20640,卖盘
25,14:55:23,5.16,--,39,20124,卖盘
26,14:55:20,5.16,--,98,50588,卖盘
27,14:55:17,5.16,-0.01,3,1548,卖盘
28,14:55:11,5.17,0.01,74,38258,买盘
29,14:55:08,5.16,--,69,35604,买盘
30,14:55:05,5.16,--,72,37244,买盘
31,14:55:02,5.16,0.01,1,516,买盘
32,14:54:59,5.15,-0.01,1,515,卖盘
33,14:54:56,5.16,0.01,48,24768,买盘
34,14:54:53,5.15,-0.01,28,14420,卖盘
35,14:54:47,5.16,--,10,5160,卖盘
36,14:54:38,5.16,--,101,52116,卖盘
37,14:54:32,5.16,--,1529,788964,买盘
38,14:54:26,5.16,0.01,102,52632,买盘
39,14:54:23,5.15,-0.01,30,15450,卖盘
40,14:54:14,5.16,0.01,12,6192,买盘
41,14:54:11,5.15,--,15,7725,卖盘
42,14:54:02,5.15,-0.01,41,21115,卖盘
43,14:53:59,5.16,0.01,101,52116,买盘
44,14:53:56,5.15,--,254,130810,卖盘
45,14:53:47,5.15,--,2,1030,卖盘
46,14:53:44,5.15,-0.01,22,11330,卖盘
47,14:53:41,5.16,0.01,37,19092,买盘
48,14:53:29,5.15,--,5,2575,卖盘
49,14:53:23,5.15,-0.01,1,515,卖盘
50,14:53:17,5.16,0.01,49,25284,买盘
51,14:53:08,5.15,--,170,87550,卖盘
52,14:52:59,5.15,--,84,43260,卖盘
53,14:52:53,5.15,--,45,23175,卖盘
54,14:52:47,5.15,-0.01,156,80340,卖盘
55,14:52:44,5.16,--,83,42828,买盘
56,14:52:38,5.16,--,4,2064,买盘
57,14:52:32,5.16,0.01,20,10320,买盘
58,14:52:29,5.15,-0.01,85,43775,卖盘
59,14:52:26,5.16,--,495,255420,买盘
60,14:52:20,5.16,--,39,20124,买盘
61,14:51:59,5.16,0.01,306,157896,买盘
62,14:51:56,5.15,--,8,4120,卖盘
63,14:51:50,5.15,--,3,1545,卖盘
64,14:51:47,5.15,-0.01,10,5150,卖盘
65,14:51:38,5.16,0.01,69,35604,买盘
66,14:51:32,5.15,-0.01,110,56650,卖盘
67,14:51:26,5.16,0.01,163,84108,买盘
68,14:51:23,5.15,-0.01,24,12360,卖盘
69,14:51:20,5.16,--,310,159960,买盘
70,14:51:14,5.16,--,100,51600,买盘
71,14:51:11,5.16,0.01,55,28380,买盘
72,14:51:08,5.15,--,21,10815,卖盘
73,14:50:56,5.15,--,30,15450,卖盘
74,14:50:53,5.15,--,172,88580,卖盘
75,14:50:50,5.15,--,89,45835,卖盘
76,14:50:44,5.15,-0.01,14,7210,卖盘
77,14:50:41,5.16,0.01,55,28380,买盘
78,14:50:38,5.15,--,100,51500,卖盘
79,14:50:32,5.15,--,1,515,卖盘
80,14:50:29,5.15,--,42,21630,卖盘
81,14:50:26,5.15,--,354,182310,卖盘
82,14:50:23,5.15,--,15,7725,卖盘
83,14:50:17,5.15,-0.01,67,34505,卖盘
84,14:50:14,5.16,0.01,431,222396,买盘
85,14:50:11,5.15,-0.01,93,47895,卖盘
86,14:50:05,5.16,0.01,11,5676,买盘
87,14:49:56,5.15,-0.01,20,10300,卖盘
88,14:49:47,5.16,--,429,221364,卖盘
89,14:49:44,5.16,--,11,5676,卖盘
90,14:49:41,5.16,--,85,43860,买盘
91,14:49:38,5.16,0.01,20,10320,买盘
92,14:49:32,5.15,-0.02,10,5150,卖盘
93,14:49:26,5.17,0.01,204,105468,买盘
94,14:49:14,5.16,--,2,1032,卖盘
95,14:49:11,5.16,--,2504,1292064,卖盘
96,14:48:59,5.16,--,11,5676,卖盘
97,14:48:53,5.16,-0.01,2,1032,卖盘
98,14:48:50,5.17,0.01,282,145794,买盘
99,14:48:47,5.16,--,8,4128,卖盘
100,14:48:23,5.16,--,8,4128,卖盘
101,14:48:14,5.16,-0.01,71,36636,卖盘
102,14:48:07,5.17,--,1,517,买盘
103,14:47:58,5.17,--,21,10857,买盘
104,14:47:49,5.17,0.01,102,52734,买盘
105,14:47:43,5.16,-0.01,32,16512,卖盘
106,14:47:40,5.17,0.01,19,9823,买盘
107,14:47:25,5.16,--,41,21156,卖盘
108,14:47:22,5.16,--,316,163056,买盘
109,14:47:16,5.16,--,100,51600,买盘
110,14:47:13,5.16,--,22,11352,买盘
111,14:47:07,5.16,--,39,20124,卖盘
112,14:46:58,5.16,0.01,152,78432,买盘
113,14:46:49,5.15,--,2,1030,卖盘
114,14:46:46,5.15,-0.02,68,35020,卖盘
115,14:46:40,5.17,0.02,1310,677270,买盘
116,14:46:34,5.15,-0.01,1,515,卖盘
117,14:46:28,5.16,--,1,516,买盘
118,14:46:16,5.16,--,8,4128,卖盘
119,14:46:10,5.16,--,5,2580,卖盘
120,14:46:07,5.16,-0.01,45,23220,买盘
121,14:45:58,5.17,--,775,400675,买盘
122,14:45:55,5.17,0.01,33,17061,买盘
123,14:45:52,5.16,0.01,26,13416,买盘
124,14:45:46,5.15,--,43,22546,卖盘
125,14:45:43,5.15,-0.02,24,12360,卖盘
126,14:45:28,5.17,0.01,32,16544,买盘
127,14:45:22,5.16,-0.01,1,516,卖盘
128,14:45:10,5.17,0.01,718,371206,买盘
129,14:45:04,5.16,-0.01,4,2064,中性盘
130,14:44:55,5.17,0.01,4,2068,买盘
131,14:44:49,5.16,-0.01,21,10836,卖盘
132,14:44:40,5.17,0.01,151,78067,买盘
133,14:44:28,5.16,--,88,45408,卖盘
134,14:44:25,5.16,--,429,221364,买盘
135,14:44:19,5.16,--,423,218268,买盘
136,14:44:13,5.16,0.01,69,35604,买盘
137,14:44:10,5.15,--,186,95790,卖盘
138,14:44:01,5.15,--,100,51500,卖盘
139,14:43:58,5.15,--,20,10300,卖盘
140,14:43:46,5.15,--,15,7725,卖盘
141,14:43:43,5.15,-0.01,1,515,卖盘
142,14:43:40,5.16,0.01,1198,618168,买盘
143,14:43:31,5.15,--,73,37595,卖盘
144,14:43:28,5.15,--,439,226085,卖盘
145,14:43:25,5.15,--,113,58637,买盘
146,14:43:22,5.15,--,13,6695,买盘
147,14:43:19,5.15,--,31,15965,买盘
148,14:43:16,5.15,--,3,1545,买盘
149,14:43:13,5.15,0.01,60,30900,买盘
150,14:43:10,5.14,-0.01,93,47802,卖盘
151,14:43:07,5.15,--,1930,993950,买盘
152,14:43:04,5.15,--,29,14935,买盘
153,14:43:01,5.15,0.01,59,30385,买盘
154,14:42:43,5.14,--,64,32896,卖盘
155,14:42:37,5.14,--,1000,513999,卖盘
156,14:42:28,5.14,0.01,248,127471,买盘
157,14:42:25,5.13,--,25,12825,卖盘
158,14:42:22,5.13,-0.01,1,513,卖盘
159,14:42:16,5.14,--,10,5140,买盘
160,14:42:13,5.14,--,296,152144,卖盘
161,14:42:04,5.14,--,434,223076,买盘
162,14:41:52,5.14,--,60,30839,买盘
163,14:41:43,5.14,--,107,54998,卖盘
164,14:41:40,5.14,--,50,25700,买盘
165,14:41:31,5.14,0.01,1007,517597,买盘
166,14:41:22,5.13,--,270,138510,卖盘
167,14:41:19,5.13,-0.01,20,10260,卖盘
168,14:41:13,5.14,0.01,11,5654,买盘
169,14:40:55,5.13,-0.01,50,25650,卖盘
170,14:40:49,5.14,0.01,11,5654,买盘
171,14:40:43,5.13,--,10,5130,卖盘
172,14:40:34,5.13,0.01,14,7182,中性盘
173,14:40:13,5.12,-0.02,9,4608,卖盘
174,14:40:10,5.14,0.01,197,101258,买盘
175,14:40:07,5.13,--,100,51300,买盘
176,14:40:01,5.13,--,249,127737,买盘
177,14:39:58,5.13,--,1,513,买盘
178,14:39:46,5.13,--,304,155952,买盘
179,14:39:40,5.13,0.01,2,1026,买盘
180,14:39:37,5.12,-0.01,300,153600,卖盘
181,14:39:22,5.13,0.01,20,10260,买盘
182,14:39:13,5.12,--,5,2560,卖盘
183,14:38:55,5.12,--,5,2560,卖盘
184,14:38:46,5.12,-0.01,264,135168,卖盘
185,14:38:34,5.13,--,5,2565,买盘
186,14:38:31,5.13,--,24,12312,买盘
187,14:38:13,5.13,--,10,5130,买盘
188,14:38:10,5.13,0.01,17,8721,买盘
189,14:37:52,5.12,-0.01,37,18944,卖盘
190,14:37:43,5.13,--,10,5130,买盘
191,14:37:40,5.13,0.01,83,42579,买盘
192,14:37:34,5.12,--,5,2560,卖盘
193,14:37:25,5.12,--,3,1536,卖盘
194,14:37:16,5.12,-0.01,2,1024,卖盘
195,14:37:04,5.13,0.01,40,20520,买盘
196,14:37:01,5.12,-0.01,22,11264,卖盘
197,14:36:55,5.13,--,10,5130,买盘
198,14:36:40,5.13,--,303,155439,卖盘
199,14:36:34,5.13,-0.01,1,513,卖盘
200,14:36:31,5.14,0.01,25,12850,买盘
201,14:36:16,5.13,--,2,1026,卖盘
202,14:36:13,5.13,-0.01,61,31293,卖盘
203,14:36:10,5.14,--,42,21588,买盘
204,14:36:04,5.14,--,454,233356,买盘
205,14:35:40,5.14,0.01,3,1542,买盘
206,14:35:28,5.13,--,10,5130,卖盘
207,14:35:25,5.13,-0.01,30,15390,卖盘
208,14:35:16,5.14,0.01,5,2570,买盘
209,14:35:07,5.13,--,35,17955,卖盘
210,14:35:01,5.13,--,41,21033,卖盘
211,14:34:58,5.13,-0.01,16,8208,卖盘
212,14:34:40,5.14,0.02,500,256999,买盘
213,14:34:28,5.12,--,6,3072,卖盘
214,14:34:22,5.12,--,190,97587,卖盘
215,14:34:19,5.12,-0.01,287,147374,卖盘
216,14:34:16,5.13,-0.01,20,10260,卖盘
217,14:34:13,5.14,--,20,10280,买盘
218,14:34:07,5.14,0.01,84,43176,买盘
219,14:33:58,5.13,-0.01,10,5130,卖盘
220,14:33:52,5.14,0.01,3,1542,买盘
221,14:33:37,5.13,--,65,33345,卖盘
222,14:33:31,5.13,--,2,1026,卖盘
223,14:33:28,5.13,--,2,1026,卖盘
224,14:33:25,5.13,--,7,3591,卖盘
225,14:33:22,5.13,0.01,38,19791,买盘
226,14:33:19,5.12,-0.01,14,7168,卖盘
227,14:33:16,5.13,0.01,10,5130,买盘
228,14:33:13,5.12,-0.01,70,35840,卖盘
229,14:33:10,5.13,0.01,175,89775,买盘
230,14:32:52,5.12,-0.01,27,13824,卖盘
231,14:32:49,5.13,0.01,83,42579,买盘
232,14:32:43,5.12,-0.01,21,10752,卖盘
233,14:32:40,5.13,0.01,10,5130,买盘
234,14:32:31,5.12,-0.01,61,31232,卖盘
235,14:32:28,5.13,0.01,44,22572,买盘
236,14:32:22,5.12,--,105,53760,卖盘
237,14:32:10,5.12,--,21,10752,卖盘
238,14:31:55,5.12,-0.01,512,262144,卖盘
239,14:31:52,5.13,--,100,51300,买盘
240,14:31:46,5.13,--,5,2565,买盘
241,14:31:40,5.13,0.01,1,513,买盘
242,14:31:34,5.12,-0.01,10,5120,卖盘
243,14:31:28,5.13,--,312,160056,买盘
244,14:31:22,5.13,0.01,5,2565,买盘
245,14:31:13,5.12,--,31,15872,卖盘
246,14:31:07,5.12,-0.01,13,6656,卖盘
247,14:30:52,5.13,0.01,19,9747,买盘
248,14:30:49,5.12,--,600,307200,卖盘
249,14:30:46,5.12,--,2,1024,卖盘
250,14:30:40,5.12,-0.01,10,5120,卖盘
251,14:30:28,5.13,--,12,6156,买盘
252,14:30:16,5.13,0.01,300,153900,买盘
253,14:30:13,5.12,--,56,28672,卖盘
254,14:30:07,5.12,--,10,5120,卖盘
255,14:30:04,5.12,--,3,1536,卖盘
256,14:30:01,5.12,--,11,5632,卖盘
257,14:29:52,5.12,-0.01,259,132608,卖盘
258,14:29:46,5.13,0.01,3,1539,买盘
259,14:29:34,5.12,-0.01,65,33280,卖盘
260,14:29:19,5.13,0.01,100,51300,买盘
261,14:29:13,5.12,-0.01,11,5632,卖盘
262,14:29:10,5.13,--,20,10260,买盘
263,14:29:01,5.13,--,2,1026,买盘
264,14:28:55,5.13,--,73,37449,卖盘
265,14:28:49,5.13,--,1,513,卖盘
266,14:28:36,5.13,--,11,5643,卖盘
267,14:28:30,5.13,--,12,6156,卖盘
268,14:28:27,5.13,0.01,177,90801,买盘
269,14:28:24,5.12,-0.01,3,1536,卖盘
270,14:28:18,5.13,0.01,9,4617,买盘
271,14:28:12,5.12,-0.01,1,512,卖盘
272,14:28:09,5.13,0.01,40,20520,买盘
273,14:28:03,5.12,--,5,2560,卖盘
274,14:27:57,5.12,--,20,10240,卖盘
275,14:27:54,5.12,--,6,3072,卖盘
276,14:27:45,5.12,--,510,261120,卖盘
277,14:27:27,5.12,--,1,512,卖盘
278,14:27:18,5.12,--,3,1536,卖盘
279,14:27:12,5.12,--,80,40960,卖盘
280,14:27:03,5.12,--,16,8192,卖盘
281,14:26:48,5.12,-0.01,200,102400,卖盘
282,14:26:36,5.13,--,6,3078,卖盘
283,14:26:30,5.13,--,23,11799,卖盘
284,14:26:24,5.13,--,666,341658,卖盘
285,14:26:18,5.13,--,59,30267,卖盘
286,14:26:12,5.13,--,2,1026,卖盘
287,14:26:00,5.13,--,31,15903,卖盘
288,14:25:57,5.13,-0.01,66,33858,卖盘
289,14:25:45,5.14,0.01,46,23644,买盘
290,14:25:36,5.13,-0.01,40,20520,卖盘
291,14:25:30,5.14,0.01,5,2570,买盘
292,14:25:27,5.13,-0.01,2,1026,卖盘
