,time,price,change,volume,amount,type
0,15:00:00,5.56,--,0,0,买盘
1,15:00:00,5.56,--,0,0,买盘
2,15:00:00,5.56,--,161,89966,卖盘
3,14:59:57,5.56,--,342,190152,卖盘
4,14:59:51,5.56,--,512,284672,卖盘
5,14:59:46,5.56,--,405,225179,卖盘
6,14:59:42,5.56,--,578,321368,卖盘
7,14:59:36,5.56,-0.01,109,60603,卖盘
8,14:59:31,5.57,--,997,555329,买盘
9,14:59:21,5.57,0.01,248,138136,买盘
10,14:59:16,5.56,--,85,47260,卖盘
11,14:59:06,5.56,--,107,59491,卖盘
12,14:59:01,5.56,--,130,72280,卖盘
13,14:58:51,5.56,--,697,387637,买盘
14,14:58:46,5.56,0.01,61,33916,买盘
15,14:58:42,5.55,-0.01,60,33300,卖盘
16,14:58:36,5.56,--,56,31135,买盘
17,14:58:31,5.56,--,279,155124,买盘
18,14:58:27,5.56,--,51,28355,买盘
19,14:58:21,5.56,0.01,58,32247,买盘
20,14:58:16,5.55,--,835,463425,卖盘
21,14:58:12,5.55,--,538,298590,卖盘
22,14:58:06,5.55,--,275,152625,卖盘
23,14:58:01,5.55,-0.01,156,87090,卖盘
24,14:57:57,5.56,--,39,21684,买盘
25,14:57:51,5.56,--,30,16680,买盘
26,14:57:46,5.56,--,248,137888,买盘
27,14:57:42,5.56,--,220,122319,买盘
28,14:57:36,5.56,--,2186,1215416,买盘
29,14:57:31,5.56,--,267,148452,买盘
30,14:57:21,5.56,0.01,222,123431,买盘
31,14:57:16,5.55,-0.01,15,8325,卖盘
32,14:57:12,5.56,--,357,198492,买盘
33,14:57:06,5.56,--,192,106751,买盘
34,14:57:01,5.56,--,494,274836,卖盘
35,14:56:57,5.56,--,2797,1555515,买盘
36,14:56:51,5.56,--,110,61159,买盘
37,14:56:46,5.56,--,51,28355,买盘
38,14:56:41,5.56,--,95,52819,买盘
39,14:56:36,5.56,0.01,93,51708,买盘
40,14:56:31,5.55,-0.01,169,94211,卖盘
41,14:56:21,5.56,--,469,260763,买盘
42,14:56:16,5.56,0.01,309,171804,买盘
43,14:56:11,5.55,--,124,68820,卖盘
44,14:56:06,5.55,--,502,278610,卖盘
45,14:56:01,5.55,-0.01,609,338228,卖盘
46,14:55:56,5.56,0.01,43,23908,买盘
47,14:55:51,5.55,-0.01,939,521145,卖盘
48,14:55:46,5.56,0.01,395,219619,买盘
49,14:55:41,5.55,-0.01,160,88800,卖盘
50,14:55:36,5.56,--,1269,705780,买盘
51,14:55:31,5.56,0.01,1001,556772,买盘
52,14:55:26,5.55,-0.01,102,56610,卖盘
53,14:55:21,5.56,--,184,102304,卖盘
54,14:55:16,5.56,--,33,18348,卖盘
55,14:55:11,5.56,0.01,22,12232,中性盘
56,14:55:06,5.55,-0.01,331,184182,卖盘
57,14:55:01,5.56,--,143,79758,卖盘
58,14:54:56,5.56,--,8,4448,卖盘
59,14:54:51,5.56,0.01,286,159399,买盘
60,14:54:46,5.55,-0.01,1078,598378,卖盘
61,14:54:41,5.56,--,108,60047,买盘
62,14:54:36,5.56,0.01,403,224429,买盘
63,14:54:31,5.55,-0.02,479,266166,卖盘
64,14:54:26,5.57,0.01,170,94690,买盘
65,14:54:21,5.56,--,196,108975,买盘
66,14:54:16,5.56,0.01,25,13899,买盘
67,14:54:11,5.55,--,14,7770,卖盘
68,14:54:06,5.55,-0.01,1049,582195,卖盘
69,14:54:01,5.56,--,50,27799,卖盘
70,14:53:56,5.56,--,310,172360,买盘
71,14:53:51,5.56,--,137,76172,买盘
72,14:53:46,5.56,--,49,27243,买盘
73,14:53:41,5.56,--,422,234631,买盘
74,14:53:36,5.56,--,55,30579,买盘
75,14:53:31,5.56,--,916,509295,买盘
76,14:53:21,5.56,0.01,50,27799,买盘
77,14:53:16,5.55,-0.01,1,555,卖盘
78,14:53:11,5.56,--,25,13899,买盘
79,14:53:06,5.56,0.01,1250,695000,买盘
80,14:53:01,5.55,--,75,41625,卖盘
81,14:52:56,5.55,--,55,30525,卖盘
82,14:52:51,5.55,--,6,3330,卖盘
83,14:52:45,5.55,-0.01,848,470640,卖盘
84,14:52:36,5.56,0.01,840,467039,买盘
85,14:52:30,5.55,-0.01,299,165945,卖盘
86,14:52:21,5.56,0.01,10,5560,买盘
87,14:52:15,5.55,--,157,87135,卖盘
88,14:52:10,5.55,-0.01,30,16650,卖盘
89,14:52:00,5.56,0.01,190,105639,买盘
90,14:51:55,5.55,--,1,555,卖盘
91,14:51:45,5.55,--,46,25530,卖盘
92,14:51:40,5.55,-0.01,21,11655,卖盘
93,14:51:36,5.56,0.01,35,19460,买盘
94,14:51:30,5.55,-0.01,483,268065,卖盘
95,14:51:25,5.56,--,140,77840,买盘
96,14:51:10,5.56,--,500,278000,买盘
97,14:51:06,5.56,--,4,2224,买盘
98,14:51:00,5.56,--,23,12788,买盘
99,14:50:55,5.56,--,534,296904,买盘
100,14:50:45,5.56,--,1,556,买盘
101,14:50:40,5.56,--,1400,778400,买盘
102,14:50:36,5.56,0.01,190,105639,买盘
103,14:50:30,5.55,-0.01,1,555,卖盘
104,14:50:25,5.56,0.01,1442,801752,买盘
105,14:50:21,5.55,-0.01,80,44400,卖盘
106,14:50:15,5.56,--,102,56711,买盘
107,14:50:10,5.56,0.01,9,5004,买盘
108,14:50:06,5.55,-0.01,510,283050,卖盘
109,14:50:00,5.56,0.01,285,158460,买盘
110,14:49:55,5.55,-0.01,142,78810,卖盘
111,14:49:51,5.56,0.01,200,111199,买盘
112,14:49:40,5.55,-0.01,1280,710644,卖盘
113,14:49:30,5.56,--,310,172671,卖盘
114,14:49:25,5.56,--,1262,701672,卖盘
115,14:49:21,5.56,--,9,5004,卖盘
116,14:49:15,5.56,--,190,105639,卖盘
117,14:49:10,5.56,-0.01,559,310804,卖盘
118,14:49:06,5.57,0.01,147,81879,买盘
