,time,price,change,volume,amount,type
0,15:00:24,24.55,0.01,461,1131755,卖盘
1,14:57:42,24.54,--,0,0,买盘
2,14:57:00,24.54,--,2,4908,卖盘
3,14:56:57,24.54,-0.01,2,4908,卖盘
4,14:56:51,24.55,--,10,24550,买盘
5,14:56:48,24.55,0.01,12,29460,买盘
6,14:56:45,24.54,--,2,4908,卖盘
7,14:56:42,24.54,--,21,51534,买盘
8,14:56:36,24.54,--,10,24540,买盘
9,14:56:33,24.54,0.01,70,171780,买盘
10,14:56:30,24.53,-0.01,2,4906,卖盘
11,14:56:27,24.54,0.01,4,9816,买盘
12,14:56:24,24.53,--,10,24530,卖盘
13,14:56:21,24.53,-0.02,4,9812,卖盘
14,14:56:18,24.55,0.02,1,2455,买盘
15,14:56:12,24.53,-0.01,3,7359,卖盘
16,14:56:09,24.54,0.01,1,2454,中性盘
17,14:56:06,24.53,-0.01,21,51513,卖盘
18,14:56:00,24.54,0.01,3,7362,买盘
19,14:55:57,24.53,--,7,17171,卖盘
20,14:55:51,24.53,-0.01,3,7359,卖盘
21,14:55:42,24.54,0.01,9,22086,买盘
22,14:55:39,24.53,--,6,14718,卖盘
23,14:55:36,24.53,--,59,144727,卖盘
24,14:55:30,24.53,--,13,31889,卖盘
25,14:55:27,24.53,--,7,17171,卖盘
26,14:55:24,24.53,--,1,2453,卖盘
27,14:55:15,24.53,--,12,29436,卖盘
28,14:55:12,24.53,--,93,228129,买盘
29,14:55:09,24.53,0.01,17,41701,买盘
30,14:55:06,24.52,-0.01,51,125052,卖盘
31,14:55:03,24.53,--,23,56419,买盘
32,14:54:45,24.53,0.01,5,12265,买盘
33,14:54:36,24.52,--,3,7356,卖盘
34,14:54:33,24.52,-0.01,1,2452,卖盘
35,14:54:27,24.53,-0.02,111,272283,卖盘
36,14:54:18,24.55,--,15,36825,买盘
37,14:54:12,24.55,0.01,4,9820,买盘
38,14:54:09,24.54,-0.01,2,4908,卖盘
39,14:54:03,24.55,--,20,49100,买盘
40,14:54:00,24.55,0.01,5,12275,买盘
41,14:53:57,24.54,-0.01,1,2454,卖盘
42,14:53:54,24.55,--,10,24550,买盘
43,14:53:51,24.55,0.01,22,54010,买盘
44,14:53:48,24.54,--,20,49080,卖盘
45,14:53:42,24.54,-0.01,6,14724,卖盘
46,14:53:39,24.55,0.01,30,73650,买盘
47,14:53:36,24.54,-0.01,22,53988,卖盘
48,14:53:33,24.55,0.01,216,530280,买盘
49,14:53:30,24.54,--,11,26994,卖盘
50,14:53:24,24.54,-0.01,5,12270,卖盘
51,14:53:12,24.55,0.01,5,12275,买盘
52,14:53:09,24.54,--,2,4908,卖盘
53,14:53:00,24.54,0.01,2,4908,买盘
54,14:52:54,24.53,-0.01,17,41701,卖盘
55,14:52:48,24.54,--,74,181596,买盘
56,14:52:36,24.54,--,1,2454,买盘
57,14:52:33,24.54,--,15,36810,买盘
58,14:52:21,24.54,--,3,7362,买盘
59,14:52:15,24.54,--,10,24540,买盘
60,14:52:12,24.54,-0.01,12,29448,卖盘
61,14:52:09,24.55,0.01,26,63830,买盘
62,14:52:00,24.54,--,5,12270,卖盘
63,14:51:57,24.54,--,10,24540,卖盘
64,14:51:51,24.54,--,4,9816,卖盘
65,14:51:45,24.54,0.03,30,73620,买盘
66,14:51:42,24.51,--,83,203433,卖盘
67,14:51:27,24.51,-0.02,5,12255,卖盘
68,14:51:24,24.53,--,13,31889,买盘
69,14:51:21,24.53,--,3,7359,买盘
70,14:51:09,24.53,--,35,85855,买盘
71,14:51:03,24.53,0.03,1,2453,买盘
72,14:50:54,24.5,--,11,26950,买盘
73,14:50:51,24.5,--,3,7350,买盘
74,14:50:48,24.5,-0.03,186,455700,卖盘
75,14:50:36,24.53,0.04,6,14718,买盘
76,14:50:27,24.49,-0.01,250,612250,卖盘
77,14:50:18,24.5,--,3,7350,卖盘
78,14:50:15,24.5,--,27,68281,买盘
79,14:50:12,24.5,--,48,117600,买盘
80,14:50:09,24.5,--,84,205800,买盘
81,14:50:03,24.5,--,14,34300,买盘
82,14:50:00,24.5,--,3,7350,买盘
83,14:49:57,24.5,-0.04,214,524618,卖盘
84,14:49:54,24.54,0.01,5,12270,买盘
85,14:49:45,24.53,0.03,2,4906,买盘
86,14:49:33,24.5,--,722,1771031,买盘
87,14:49:30,24.5,--,56,137200,买盘
88,14:49:24,24.5,--,1,2450,买盘
89,14:49:21,24.5,--,4,9800,买盘
90,14:49:12,24.5,0.01,59,144550,买盘
91,14:49:09,24.49,-0.01,443,1084907,卖盘
92,14:49:00,24.5,--,34,83300,买盘
93,14:48:54,24.5,--,100,245000,买盘
94,14:48:51,24.5,--,16,39200,买盘
95,14:48:45,24.5,--,8,19600,买盘
96,14:48:42,24.5,--,11,26950,买盘
97,14:48:36,24.5,--,5,12250,买盘
98,14:48:30,24.5,--,5,12568,卖盘
99,14:48:24,24.5,-0.04,572,1401400,卖盘
100,14:48:18,24.54,--,14,34356,卖盘
101,14:48:15,24.54,--,104,255216,卖盘
102,14:48:06,24.54,-0.01,32,78528,卖盘
103,14:48:00,24.55,--,34,83470,买盘
104,14:47:54,24.55,0.01,6,14730,买盘
105,14:47:48,24.54,-0.01,10,24540,卖盘
106,14:47:45,24.55,0.01,56,137480,买盘
107,14:47:39,24.54,--,4,9816,卖盘
108,14:47:33,24.54,0.01,43,105522,买盘
109,14:47:30,24.53,-0.01,50,122650,卖盘
110,14:47:27,24.54,--,20,49080,买盘
111,14:47:24,24.54,0.01,11,26994,买盘
112,14:47:18,24.53,-0.01,20,49060,卖盘
113,14:47:09,24.54,0.01,7,17178,买盘
114,14:46:57,24.53,--,1,2453,买盘
115,14:46:48,24.53,--,15,36795,买盘
116,14:46:45,24.53,-0.01,9,22077,卖盘
117,14:46:42,24.54,--,31,76074,买盘
118,14:46:39,24.54,0.01,200,490800,买盘
119,14:46:30,24.53,0.02,18,44154,买盘
120,14:46:24,24.51,-0.02,388,950988,卖盘
121,14:46:18,24.53,0.02,52,127556,买盘
122,14:46:15,24.51,--,12,30220,卖盘
123,14:46:12,24.51,-0.02,3,7353,卖盘
124,14:46:09,24.53,--,1,2453,买盘
125,14:46:00,24.53,0.02,6,14718,买盘
126,14:45:54,24.51,--,119,291669,卖盘
127,14:45:48,24.51,0.01,326,800349,买盘
128,14:45:45,24.5,--,10,24500,买盘
129,14:45:39,24.5,-0.01,360,882098,卖盘
130,14:45:36,24.51,0.01,11,26961,买盘
131,14:45:24,24.5,--,6,14700,卖盘
132,14:45:18,24.5,0.01,61,151802,买盘
133,14:45:12,24.49,-0.01,2,4898,卖盘
134,14:45:00,24.5,--,776,1901200,买盘
135,14:44:54,24.5,--,15,36750,买盘
136,14:44:51,24.5,--,10,24500,买盘
137,14:44:48,24.5,--,84,205800,买盘
138,14:44:39,24.5,--,30,73500,买盘
139,14:44:33,24.5,0.01,5,12250,买盘
140,14:44:21,24.49,-0.01,54,132246,卖盘
141,14:44:15,24.5,0.01,10,24500,买盘
142,14:44:12,24.49,-0.01,17,41633,卖盘
143,14:44:06,24.5,--,3,7350,买盘
144,14:44:00,24.5,--,97,237650,买盘
145,14:43:51,24.5,-0.01,438,1073198,卖盘
146,14:43:42,24.51,--,2,4902,卖盘
147,14:43:33,24.51,0.02,93,230295,买盘
148,14:43:30,24.49,-0.01,5,12245,卖盘
149,14:43:27,24.5,0.01,9,22050,买盘
150,14:43:24,24.49,-0.01,55,134695,卖盘
151,14:43:21,24.5,0.01,6,14700,买盘
152,14:43:12,24.49,-0.01,73,178777,卖盘
153,14:43:09,24.5,-0.01,716,1754200,卖盘
154,14:42:54,24.51,-0.03,2,4902,卖盘
155,14:42:51,24.54,0.03,17,41718,买盘
156,14:42:45,24.51,--,18,44118,卖盘
157,14:42:39,24.51,0.01,2,4902,卖盘
158,14:42:33,24.5,-0.04,16,39200,卖盘
159,14:42:24,24.54,0.04,52,127608,买盘
160,14:42:21,24.5,-0.04,16,39200,卖盘
161,14:42:12,24.54,0.04,217,532518,买盘
162,14:42:03,24.5,--,2,4900,卖盘
163,14:42:00,24.5,-0.04,4,9800,卖盘
164,14:41:51,24.54,0.04,1,2454,买盘
165,14:41:42,24.5,--,9,22050,卖盘
166,14:41:33,24.5,-0.04,266,651700,卖盘
167,14:41:30,24.54,0.04,40,98160,买盘
168,14:41:12,24.5,-0.03,520,1274000,卖盘
169,14:41:09,24.53,--,5,12265,卖盘
170,14:41:06,24.53,0.01,10,24530,卖盘
171,14:41:03,24.52,--,32,78464,买盘
172,14:40:57,24.52,--,7,17164,买盘
173,14:40:54,24.52,--,121,296692,卖盘
174,14:40:51,24.52,-0.01,15,36780,卖盘
175,14:40:42,24.53,0.01,5,12265,买盘
176,14:40:39,24.52,--,23,56396,卖盘
177,14:40:29,24.52,0.01,16,39232,卖盘
178,14:40:23,24.51,--,7,17157,卖盘
179,14:40:20,24.51,--,16,39216,卖盘
180,14:40:17,24.51,--,1,2451,卖盘
181,14:40:08,24.51,--,2,4902,卖盘
182,14:40:02,24.51,--,72,176472,买盘
