,time,price,change,volume,amount,type
0,15:00:00,245.52,--,0,0,卖盘
1,15:00:00,245.52,-0.03,17,422294,中性盘
2,14:59:57,245.55,0.23,12,294660,买盘
3,14:59:52,245.32,-0.16,3,73596,卖盘
4,14:59:47,245.48,-0.06,7,171836,卖盘
5,14:59:42,245.54,-0.01,29,712066,卖盘
6,14:59:37,245.55,0.01,3,73665,卖盘
7,14:59:32,245.54,0.24,5,122770,卖盘
8,14:59:27,245.3,-0.2,16,392480,卖盘
9,14:59:22,245.5,-0.04,8,196400,卖盘
10,14:59:17,245.54,0.03,1,24554,中性盘
11,14:59:12,245.51,0.01,2,49102,卖盘
12,14:59:07,245.5,-0.08,2,49100,卖盘
13,14:59:02,245.58,0.03,9,221022,买盘
14,14:58:57,245.55,-0.05,8,196440,中性盘
15,14:58:52,245.6,0.09,5,141711,买盘
16,14:58:47,245.51,--,14,343714,卖盘
17,14:58:42,245.51,0.01,4,98204,卖盘
18,14:58:37,245.5,-0.01,1,46154,卖盘
19,14:58:32,245.51,0.21,3,73653,中性盘
20,14:58:27,245.3,-0.21,8,196240,卖盘
21,14:58:22,245.51,0.01,9,220959,中性盘
22,14:58:17,245.5,-0.09,10,245500,卖盘
23,14:58:12,245.59,0.09,4,98236,中性盘
24,14:58:07,245.5,-0.1,2,66530,卖盘
25,14:58:02,245.6,0.1,19,466640,买盘
26,14:57:57,245.5,-0.01,18,441900,卖盘
27,14:57:52,245.51,--,8,206228,卖盘
28,14:57:47,245.51,-0.09,36,883836,卖盘
29,14:57:42,245.6,-0.02,2,49120,卖盘
30,14:57:37,245.62,0.01,1,24562,买盘
31,14:57:32,245.61,0.01,14,343854,中性盘
32,14:57:27,245.6,--,9,243144,卖盘
33,14:57:22,245.6,--,4,98240,卖盘
34,14:57:17,245.6,--,1,24560,卖盘
35,14:57:12,245.6,0.14,25,631192,买盘
36,14:57:07,245.46,0.17,2,49092,卖盘
37,14:57:02,245.29,-0.16,9,220761,卖盘
38,14:56:57,245.45,-0.05,8,196360,中性盘
39,14:56:52,245.5,0.22,8,196400,买盘
40,14:56:47,245.28,--,19,466032,卖盘
41,14:56:42,245.28,--,2,49056,卖盘
42,14:56:32,245.28,-0.22,8,196224,卖盘
43,14:56:27,245.5,--,13,319150,卖盘
44,14:56:22,245.5,--,3,73650,卖盘
45,14:56:17,245.5,0.28,1,24550,中性盘
46,14:56:12,245.22,-0.43,14,343308,卖盘
47,14:56:07,245.65,0.37,18,442170,买盘
48,14:56:02,245.28,-0.22,8,196224,卖盘
49,14:55:57,245.5,--,9,220950,卖盘
50,14:55:52,245.5,-0.17,4,98200,卖盘
51,14:55:47,245.67,0.17,19,466773,买盘
52,14:55:42,245.5,0.29,5,122750,中性盘
53,14:55:37,245.21,-0.46,5,122605,卖盘
54,14:55:32,245.67,0.17,4,98268,中性盘
55,14:55:27,245.5,--,33,810150,卖盘
56,14:55:22,245.5,--,6,147300,卖盘
57,14:55:17,245.5,0.36,51,1252050,买盘
58,14:55:12,245.14,-0.36,5,122570,卖盘
59,14:55:07,245.5,0.36,2,49100,买盘
60,14:55:02,245.14,-0.07,7,171598,卖盘
61,14:54:57,245.21,--,9,221915,卖盘
62,14:54:52,245.21,0.07,1,24521,卖盘
63,14:54:47,245.14,0.07,17,431936,中性盘
64,14:54:42,245.07,-0.13,48,1176336,卖盘
65,14:54:37,245.2,--,0,9808,卖盘
66,14:54:31,245.2,--,2,49040,卖盘
