,time,price,change,volume,amount,type
0,15:00:00,9.45,--,0,0,卖盘
1,15:00:00,9.45,-0.01,0,0,卖盘
2,14:59:57,9.46,--,20,18920,买盘
3,14:59:47,9.46,0.01,75,70950,买盘
4,14:59:42,9.45,-0.01,8,7559,卖盘
5,14:59:37,9.46,--,76,71896,买盘
6,14:59:32,9.46,0.01,109,103114,买盘
7,14:59:27,9.45,--,102,96503,买盘
8,14:59:22,9.45,0.01,18,17010,买盘
9,14:59:17,9.44,-0.01,104,98176,卖盘
10,14:59:12,9.45,--,132,124739,买盘
11,14:58:57,9.45,0.01,34,32129,买盘
12,14:58:42,9.44,-0.01,46,43424,卖盘
13,14:58:37,9.45,0.01,242,228689,买盘
14,14:58:32,9.44,--,20,18880,卖盘
15,14:58:27,9.44,--,3,2832,卖盘
16,14:58:12,9.44,-0.01,60,56640,卖盘
17,14:58:07,9.45,--,27,25514,买盘
18,14:58:02,9.45,0.01,13,12284,买盘
19,14:57:57,9.44,--,1,944,卖盘
20,14:57:47,9.44,-0.01,3,2832,卖盘
21,14:57:42,9.45,--,80,75600,买盘
22,14:57:32,9.45,--,72,68040,买盘
23,14:57:27,9.45,--,3,2835,买盘
24,14:57:17,9.45,--,111,104894,买盘
25,14:57:12,9.45,--,1,944,买盘
26,14:57:02,9.45,--,34,32129,买盘
27,14:56:57,9.45,--,60,56699,买盘
28,14:56:47,9.45,0.01,14,13229,买盘
29,14:56:37,9.44,-0.01,4,3776,卖盘
30,14:56:32,9.45,--,30,28349,买盘
31,14:56:27,9.45,--,30,28349,买盘
32,14:56:22,9.45,--,30,28349,买盘
33,14:56:17,9.45,--,112,105839,卖盘
34,14:56:12,9.45,--,20,18900,卖盘
35,14:56:02,9.45,--,31,29294,卖盘
36,14:55:52,9.45,0.01,114,107729,买盘
37,14:55:42,9.44,--,7,6608,卖盘
38,14:55:37,9.44,--,7,6608,卖盘
39,14:55:32,9.44,--,29,27376,卖盘
40,14:55:27,9.44,-0.01,47,44368,卖盘
41,14:55:17,9.45,-0.01,6,5670,卖盘
42,14:55:12,9.46,0.01,53,50138,买盘
43,14:54:47,9.45,0.01,75,70875,买盘
44,14:54:42,9.44,--,0,0,卖盘
45,14:54:37,9.44,-0.01,68,64201,卖盘
46,14:54:22,9.45,--,262,248525,卖盘
47,14:54:12,9.45,--,19,17964,买盘
48,14:54:07,9.45,--,5,4725,买盘
49,14:54:01,9.45,--,53,50084,买盘
50,14:53:57,9.45,0.01,151,142695,买盘
51,14:53:51,9.44,-0.01,6,5664,卖盘
52,14:53:46,9.45,--,100,94500,买盘
53,14:53:42,9.45,--,38,35910,买盘
54,14:53:36,9.45,0.01,48,45360,买盘
55,14:53:26,9.44,-0.01,5,4720,卖盘
56,14:53:22,9.45,0.01,13,12284,买盘
57,14:53:01,9.44,--,10,9440,卖盘
58,14:52:56,9.44,--,19,17936,卖盘
59,14:52:51,9.44,-0.01,3,2832,卖盘
60,14:52:36,9.45,0.01,109,103004,买盘
61,14:52:26,9.44,--,2,1888,卖盘
62,14:52:20,9.44,-0.01,6,5664,卖盘
63,14:52:11,9.45,0.01,10,9450,买盘
64,14:52:01,9.44,-0.01,4,3776,卖盘
65,14:51:56,9.45,0.01,20,18900,买盘
66,14:51:41,9.44,-0.01,20,18880,卖盘
67,14:51:05,9.45,--,2,2825,卖盘
68,14:51:00,9.45,--,8,7559,卖盘
